#Time of request completion (in ms after experiment start), Session ID, Time taken to open connection with server (ms), Time taken to receive first byte of reply (ms), Time taken to receive last byte of reply (ms), number of concurrent sessions in the system, size of response (bytes) 
68586.209,6,-1.0,183.6,7.7,66,13739
69527.250,46,-1.0,186.7,6.7,66,11914
69632.257,57,-1.0,281.8,0.0,66,785
70712.305,55,-1.0,171.3,6.7,66,11914
71055.328,70,25.2,111.7,6.5,67,10972
72483.390,71,18.6,140.8,6.4,68,10972
72364.384,23,-1.0,975.6,5.1,68,9030
73459.437,49,-1.0,168.6,6.6,68,11914
73783.452,35,-1.0,153.4,10.7,69,13647
73948.457,38,-1.0,81.1,0.0,69,1909
73915.463,72,47.1,138.7,6.5,69,10972
74316.479,62,-1.0,206.6,17.9,69,11914
74357.479,30,-1.0,660.9,22.7,70,9027
74885.504,73,25.2,145.1,25.1,70,10972
75132.519,61,-1.0,104.3,0.0,70,1909
75024.384,56,-1.0,324.6,0.0,70,785
76441.574,74,29.0,150.0,6.9,71,10972
76938.597,64,-1.0,231.1,0.0,71,789
77952.648,42,-1.0,67.2,0.0,71,1909
77837.641,26,-1.0,195.3,7.8,71,13739
78112.652,59,-1.0,181.9,7.5,71,13739
78990.694,75,50.3,171.9,18.5,72,10972
78862.691,14,-1.0,373.3,0.0,72,2399
79105.708,33,-1.0,232.2,7.6,72,13680
78984.694,65,-1.0,380.2,0.0,72,789
79884.738,40,-1.0,232.5,0.0,73,762
80035.742,76,24.9,117.5,22.8,73,10972
80681.771,66,-1.0,196.7,0.0,73,789
81468.812,54,-1.0,184.8,17.6,73,13739
81619.818,52,-1.0,245.7,0.0,73,785
81972.835,77,17.7,101.5,6.5,73,10972
82327.849,78,22.7,105.5,6.7,75,10972
82455.855,79,34.7,102.9,6.8,75,10972
82793.873,21,-1.0,63.3,0.0,75,1909
83285.893,47,-1.0,174.5,6.6,75,11914
83965.928,39,-1.0,185.0,20.3,76,13739
84152.943,80,27.6,156.8,6.9,76,10972
85199.989,70,-1.0,181.3,6.8,76,11914
85306.990,69,-1.0,200.9,6.7,76,11914
85792.011,81,28.6,111.7,6.3,77,10972
86031.024,38,-1.0,149.8,7.6,77,13769
86403.045,51,-1.0,182.0,7.6,77,13739
86636.050,49,-1.0,267.0,0.0,77,785
86891.067,55,-1.0,234.2,0.0,76,2579
87244.077,32,-1.0,218.9,0.0,76,2602
87502.091,63,-1.0,210.6,7.2,76,11914
87477.094,1,-1.0,248.5,0.0,76,766
88755.148,82,16.6,115.0,6.7,77,10972
88949.159,35,-1.0,231.5,0.0,77,785
89905.202,28,-1.0,171.7,6.7,76,11914
90256.226,83,44.4,143.0,6.5,77,10972
90250.223,68,-1.0,231.0,19.9,77,13739
90517.234,84,23.4,114.9,6.7,78,10972
90959.254,10,-1.0,95.0,6.4,78,10866
91068.257,36,-1.0,249.6,0.0,78,2589
91238.274,61,-1.0,249.0,0.0,78,793
91779.293,6,-1.0,241.6,0.0,77,2571
92346.318,33,-1.0,95.3,6.2,77,10866
92899.351,15,-1.0,123.7,8.1,78,10866
92892.342,85,38.4,142.4,6.9,78,10972
94028.398,7,-1.0,95.9,7.8,78,10866
94248.405,86,32.2,119.9,20.5,79,10972
94808.437,87,22.1,123.8,7.1,80,10972
95123.446,88,17.9,113.1,8.4,81,10972
